BV,av,title,pubtime,tag,up,fans,length,view,danmu,review,favorite
BV11t411u71e,62012858,小翔哥请敬汉卿吃饭一顿就花了4千多，探店成都最贵黑珍珠2钻餐厅,Sat Aug  3 18:10:29 2019,"美食,吃货,试吃,VLOG,探店,米其林餐厅,黑珍珠餐厅,玉芝兰,一日三餐挑战",翔翔大作战,6033000,1518,5031257,39206,6379,16428
BV147411N7F2,92177270,我，老坛胡说，实名diss中国BOY超级大猩猩,Thu Feb 27 20:42:02 2020,"生活,VLOG,日常,搞笑,老坛胡说,中国BOY超级大猩猩",老坛胡说,1859000,1214,5006070,155603,9451,96492
BV1HJ411j7vs,81847211,男子花了2万日元在日本买了个便当，一打开结果…,Fri Jan  3 18:35:58 2020,"冬日美食挑战,美食圈,便当,美食,吃货,日本料理,吃播,日本,vlog,开箱",孤独的美食基,2909000,504,4987723,53204,4033,52572
BV1J7411C7Ty,99406294,不要“做”挑战？（第三期）,Thu Mar 26 08:04:36 2020,"搞笑挑战,逗比,搞笑,恶搞,vlog,小潮,生活,沙雕,桌游,日常",小潮院长,3163000,704,4982222,41742,6671,60855
BV1eJ411A7os,67817729,小伙花1200租了一辆跑车，终于知道国内为什么都不喜欢开敞篷车了,Sun Sep 15 17:30:46 2019,"敞篷车,旅游,跑车,VLOG,野马,云南,大理,洱海",翔翔大作战,6033000,736,4975135,26326,6438,30019
BV1Ut411J7ur,59775661,退役飞行员坐过山车，全程面无表情(⚭-⚭ ),Fri Jul 19 02:14:48 2019,"VLOG,过山车,生无可恋",有点懵2036,1132,137,4952954,7968,5418,24048
BV1gE411P7w9,98040843,高中被我绿过的哥们成了大学舍友，我的一个朋友的故事X 01,Sun Mar 22 10:00:43 2020,"VLOG,校园,生活,搞笑,自制,爱情,恋爱,吐槽,高能,讲故事",钢铁直男必老板,1044000,2120,4936343,82363,11281,96913
BV1PZ4y1j7xP,370005829,谋 权 篡 位 2,Thu Apr  2 08:52:44 2020,"搞笑,恶搞,VLOG,逗比,搞笑视频,奇葩,小潮,沙雕,恶作剧,生活",小潮院长,3163000,1001,4930447,49119,6970,55064
BV1wJ411e7c4,80873007,湖南妹子在日本挑战最辣拉面，被当地学生偷拍,Fri Dec 27 19:53:57 2019,"30天vlog挑战,生活,美食,美食圈,吃货,拉面,日常,美食侦探,美食探店,日本",绵羊料理,4251000,454,4901492,16076,3485,42555
BV1hg4y1z7g7,837884070,“得罪人”挑战？！（第一期）,Thu Apr 30 07:59:31 2020,"中国BOY,高能,男装,逗比,桌游,沙雕,生活,vlog,啊吗粽,小潮,搞笑,日常",小潮院长,3163000,736,4895843,52954,7562,49128
BV1WJ41147Wx,80134160,我租了个日本小姐姐陪我谈了三个钟头的恋爱！,Sun Dec 22 12:00:51 2019,"萌妹子,小姐姐,凉风Kaze,VLOG,恋爱,东京,生活记录,约会,tool凉",凉风Kaze,6387000,656,4878535,56160,9904,63856
BV1AT4y1G7e4,925158251,不要“做”挑战？（第四期）,Fri Apr 10 19:58:16 2020,"搞笑挑战,逗比,搞笑,恶搞,生活,vlog,小潮,日常,桌游,沙雕",小潮院长,3163000,711,4869827,34142,7902,64661
BV1ac411h7BR,285145704,为何美国沦为世界疫情最严重国？我们各州关系像邻居！,Sun Apr  5 16:23:30 2020,"加油2020-VLOG挑战,VLOG,肺炎,歪果仁,美国疫情,美国",我是郭杰瑞,5092000,540,4863152,51678,20819,45959
BV1WK4y187Gr,883111359,“得罪人”挑战？？（第二期）,Sat May  2 13:23:52 2020,"搞笑挑战,逗比,高能,vlog,沙雕,桌游,搞笑,啊吗粽,小潮,中国BOY",小潮院长,3163000,652,4805034,33165,6303,35872
